,Long position,Short position,Gross risk,Net risk,Daily performance,YTD performance,Vol,Sharpe Ratio
5月17日2021年,62%,-36%,98%,25%,-353.92%,2950908.44%,86%,"34,378.3"
5月18日2021年,48%,-40%,88%,7%,-107.55%,2950800.89%,88%,"33,596.4"
5月19日2021年,19%,-81%,100%,-63%,-1562.83%,2949238.06%,368%,"8,011.9"
5月20日2021年,42%,-57%,99%,-15%,-110.66%,2949127.40%,370%,"7,966.9"
5月21日2021年,57%,-38%,95%,19%,-1027.74%,2948099.66%,417%,"7,068.7"
5月24日2021年,56%,-43%,98%,13%,-94.79%,2948004.88%,421%,"7,001.2"
5月25日2021年,70%,-20%,91%,50%,1859.50%,2949864.38%,726%,"4,062.3"
5月26日2021年,49%,-40%,89%,9%,-110.96%,2949753.41%,726%,"4,060.6"
5月27日2021年,45%,-45%,90%,0%,-986.69%,2948766.72%,756%,"3,898.6"
5月28日2021年,58%,-28%,86%,30%,-122.01%,2948644.71%,757%,"3,895.4"
5月31日2021年,32%,-59%,91%,-28%,-557.56%,2948087.15%,761%,"3,871.9"
6月1日2021年,18%,-72%,90%,-54%,-156.16%,2947930.99%,762%,"3,870.7"
6月2日2021年,57%,-42%,99%,15%,-262.37%,2947668.61%,761%,"3,871.0"
6月3日2021年,63%,-37%,100%,26%,-99.73%,2947568.88%,762%,"3,866.5"
6月4日2021年,52%,-45%,96%,7%,39618.75%,2987187.63%,10684%,279.6
6月7日2021年,12%,-87%,99%,-75%,-125.89%,2987061.74%,10685%,279.6
6月8日2021年,57%,-37%,94%,20%,-491.67%,2986570.07%,10657%,280.3
6月9日2021年,37%,-49%,87%,-12%,-49.77%,2986520.30%,10655%,280.3
6月10日2021年,78%,-15%,94%,63%,109.87%,2986630.17%,10629%,281.0
6月11日2021年,52%,-37%,89%,15%,-41.42%,2986588.75%,10628%,281.0
6月14日2021年,49%,-42%,91%,7%,18.49%,2986607.24%,10651%,280.4
6月15日2021年,31%,-49%,80%,-18%,-38.97%,2986568.27%,10650%,280.4
6月16日2021年,51%,-35%,86%,16%,52.18%,2986620.45%,10627%,281.1
6月17日2021年,45%,-55%,100%,-9%,-17.43%,2986603.02%,10624%,281.1
6月18日2021年,40%,-51%,91%,-10%,11.16%,2986614.17%,10612%,281.4
6月21日2021年,40%,-48%,88%,-8%,2.32%,2986616.50%,10609%,281.5
6月22日2021年,21%,-77%,98%,-56%,6.01%,2986622.51%,10603%,281.7
6月23日2021年,45%,-41%,86%,4%,-0.56%,2986621.94%,10601%,281.7
6月24日2021年,52%,-34%,86%,18%,53.57%,2986675.51%,142%,"20,996.3"
6月25日2021年,60%,-33%,93%,27%,-36.01%,2986639.50%,140%,"21,345.9"
6月28日2021年,63%,-24%,87%,40%,37.83%,2986677.33%,45%,"66,663.6"
6月29日2021年,45%,-54%,99%,-8%,-56.49%,2986620.85%,45%,"65,647.1"
6月30日2021年,59%,-26%,85%,33%,75.94%,2986696.78%,40%,"74,299.0"
7月1日2021年,40%,-51%,91%,-11%,-30.63%,2986666.16%,39%,"75,921.2"
7月2日2021年,31%,-58%,89%,-27%,16.59%,2986682.74%,39%,"76,008.5"
7月5日2021年,44%,-49%,93%,-6%,-5.37%,2986677.38%,37%,"79,956.0"
7月6日2021年,26%,-65%,91%,-39%,27.67%,2986705.05%,36%,"83,780.2"
7月7日2021年,58%,-40%,98%,18%,-14.04%,2986691.01%,35%,"84,159.8"
7月8日2021年,41%,-56%,97%,-15%,59.43%,2986750.44%,38%,"78,112.6"
7月9日2021年,47%,-52%,98%,-5%,-44.82%,2986705.62%,41%,"72,986.5"
7月12日2021年,47%,-43%,90%,3%,98.68%,2986804.30%,48%,"62,512.1"
7月13日2021年,59%,-28%,87%,32%,-41.96%,2986762.34%,50%,"59,836.2"
7月14日2021年,32%,-55%,87%,-23%,64.75%,2986827.09%,51%,"58,855.2"
7月15日2021年,59%,-38%,97%,21%,-74.17%,2986752.93%,54%,"54,949.7"
7月16日2021年,49%,-46%,95%,4%,324.15%,2987077.08%,101%,"29,693.8"
7月19日2021年,55%,-45%,100%,10%,-92.08%,2986985.00%,103%,"28,909.1"
7月20日2021年,46%,-49%,95%,-4%,1089.81%,2988074.81%,303%,"9,857.5"
7月21日2021年,41%,-47%,88%,-6%,-105.23%,2987969.57%,306%,"9,757.9"
7月22日2021年,57%,-29%,86%,28%,-2073.81%,2985895.77%,656%,"4,550.8"
7月23日2021年,23%,-76%,99%,-52%,-99.76%,2985796.01%,656%,"4,551.2"
7月26日2021年,42%,-52%,94%,-11%,42969.40%,3028765.40%,11521%,262.9
7月27日2021年,34%,-57%,91%,-23%,-51.72%,3028713.69%,11522%,262.9
7月28日2021年,46%,-49%,96%,-3%,100.92%,3028814.61%,11521%,262.9
7月29日2021年,58%,-32%,90%,25%,-26.63%,3028787.98%,11521%,262.9
7月30日2021年,32%,-62%,94%,-30%,49.01%,3028836.99%,11522%,262.9
8月2日2021年,44%,-56%,100%,-11%,-58.97%,3028778.02%,11522%,262.9
8月3日2021年,52%,-30%,81%,22%,183.30%,3028961.32%,11520%,262.9
8月4日2021年,13%,-76%,89%,-63%,-53.08%,3028908.24%,11520%,262.9
8月5日2021年,34%,-57%,91%,-23%,98.36%,3029006.61%,11524%,262.8
8月6日2021年,25%,-61%,86%,-36%,18.65%,3029025.26%,11522%,262.9
8月9日2021年,42%,-54%,96%,-12%,-7.19%,3029018.06%,11539%,262.5
8月10日2021年,36%,-47%,83%,-10%,37.15%,3029055.21%,11536%,262.6
8月11日2021年,44%,-43%,87%,1%,-18.79%,3029036.42%,11481%,263.8
8月12日2021年,37%,-52%,89%,-15%,31.52%,3029067.95%,11478%,263.9
8月13日2021年,38%,-53%,92%,-15%,-25.54%,3029042.40%,70%,"43,224.3"
8月16日2021年,72%,-14%,86%,58%,48.70%,3029091.10%,67%,"45,022.8"
8月17日2021年,45%,-43%,88%,1%,-17.73%,3029073.38%,65%,"46,840.8"
8月18日2021年,31%,-58%,88%,-27%,-23.06%,3029050.32%,64%,"46,974.8"
8月19日2021年,10%,-79%,90%,-69%,25.21%,3029075.53%,64%,"47,377.9"
8月20日2021年,71%,-22%,92%,49%,10.45%,3029085.98%,60%,"50,344.8"
8月23日2021年,44%,-47%,90%,-3%,40.02%,3029126.00%,39%,"77,423.6"
8月24日2021年,56%,-35%,90%,21%,-62.94%,3029063.06%,40%,"74,889.2"
