Start Date,1/1/00,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,USDKRW Curncy,,,,,,USDJPY Curncy,,,,,,USDCNY Curncy,,,,,,USDEUR Curncy,,,,,
,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day
Dates,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D
2月14日2000年,1127.43,#N/A N/A,48.27,43.55,50.72,65.55,108.96,#N/A N/A,63.35,58.84,63.73,57.04,8.2779,#N/A N/A,37.797,43.8817,34.5907,10.5772,1.0222,#N/A N/A,61.3049,60.9752,61.7164,71.4075
2月15日2000年,1126.93,#N/A N/A,47.73,43.35,49.66,60.89,109.22,#N/A N/A,64.55,59.47,65.65,66.71,8.2777,#N/A N/A,35.6127,42.5354,31.6596,8.201,1.0188,#N/A N/A,58.6971,59.6748,57.76,57.2058
2月16日2000年,1126.93,#N/A N/A,47.73,43.35,49.66,60.89,109.44,#N/A N/A,65.57,60,67.29,74.11,8.2777,#N/A N/A,35.6127,42.5354,31.6596,8.201,1.0139,#N/A N/A,55.062,57.8359,52.3218,40.0059
2月17日2000年,1128.5,#N/A N/A,49.77,44.18,53.52,73.97,110.56,#N/A N/A,70.28,62.59,74.32,90.4,8.2772,#N/A N/A,30.5017,39.3088,24.9659,3.6229,1.0124,#N/A N/A,53.9603,57.277,50.6786,35.1526
2月18日2000年,1129.5,#N/A N/A,51.07,44.71,55.93,80.27,111.09,#N/A N/A,72.22,63.74,76.95,93.36,8.2772,#N/A N/A,30.5017,39.3088,24.9659,3.6229,1.0164,#N/A N/A,56.4619,58.3864,54.9254,56.3392
2月21日2000年,1132.5,#N/A N/A,54.86,46.3,62.51,90.56,111.26,#N/A N/A,72.83,64.11,77.78,94.22,8.2775,#N/A N/A,36.812,42.1276,35.3462,45.0413,1.0125,#N/A N/A,53.4144,56.8962,50.1855,38.1232
2月22日2000年,1134.5,#N/A N/A,57.24,47.35,66.29,93.8,110.69,#N/A N/A,67.46,61.94,68.54,57.09,8.2773,#N/A N/A,34.5592,40.8201,32.0236,31.5028,0.9962,#N/A N/A,42.9742,51.2417,35.6999,12.5943
2月23日2000年,1135.5,#N/A N/A,58.42,47.87,68.09,95.06,111.07,#N/A N/A,69.1,62.81,71.11,69.22,8.278,#N/A N/A,46.8252,46.7985,50.387,73.4305,0.9964,#N/A N/A,43.1211,51.3031,35.9551,13.6585
2月24日2000年,1143.5,#N/A N/A,66.41,51.84,78.48,98.57,111.37,#N/A N/A,70.36,63.49,73.07,76.94,8.278,#N/A N/A,46.8252,46.7985,50.387,73.4305,1.0081,#N/A N/A,51.0632,54.753,49.2181,58.2553
2月25日2000年,1136.5,#N/A N/A,56.23,48.5,59.44,51.01,110.29,#N/A N/A,60.73,59.44,57.34,32.68,8.2786,#N/A N/A,55.1769,51.3103,61.6313,87.8149,1.0257,#N/A N/A,60.0907,59.2458,62.3966,80.7226
2月28日2000年,1134.5,#N/A N/A,53.7,47.59,55.14,42.27,109.45,#N/A N/A,54.47,56.54,48.26,19.56,8.2786,#N/A N/A,55.1769,51.3103,61.6313,87.8149,1.03,#N/A N/A,61.9381,60.2436,64.9002,83.8985
2月29日2000年,1131.11,#N/A N/A,49.62,46.08,48.45,29.44,110.33,#N/A N/A,59.21,58.72,56.4,50.68,8.2786,#N/A N/A,55.1769,51.3103,61.6313,87.8149,1.0371,#N/A N/A,64.8328,61.8394,68.7634,88.5645
3月1日2000年,1128,#N/A N/A,46.16,44.73,43.06,20.77,107.28,#N/A N/A,42.65,49.77,34.95,16.83,8.2786,#N/A N/A,55.1769,51.3103,61.6313,87.8149,1.0281,#N/A N/A,58.7349,58.7472,59.4348,57.1012
3月2日2000年,1119.75,#N/A N/A,38.48,41.41,32.33,9.56,107.74,#N/A N/A,45.14,50.94,38.9,27.75,8.2787,#N/A N/A,56.7014,52.0859,63.8204,91.6357,1.0356,#N/A N/A,61.9469,60.452,64.0119,70.2932
